id,customer_id,status,created_at,updated_at
1,1,shipped,2012-03-25 09:54:09 UTC,2012-03-25 09:54:09 UTC
2,1,shipped,2012-03-12 05:54:09 UTC,2012-03-12 05:54:09 UTC
3,1,shipped,2012-03-10 00:54:09 UTC,2012-03-10 00:54:09 UTC
4,1,shipped,2012-03-24 15:54:10 UTC,2012-03-24 15:54:10 UTC
5,1,shipped,2012-03-07 19:54:10 UTC,2012-03-07 19:54:10 UTC
6,1,shipped,2012-03-09 01:54:10 UTC,2012-03-09 01:54:10 UTC
7,1,shipped,2012-03-07 21:54:10 UTC,2012-03-07 21:54:10 UTC
8,1,shipped,2012-03-13 16:54:10 UTC,2012-03-13 16:54:10 UTC
9,2,shipped,2012-03-07 12:54:10 UTC,2012-03-07 12:54:10 UTC
10,3,shipped,2012-03-06 21:54:10 UTC,2012-03-06 21:54:10 UTC
11,3,shipped,2012-03-08 20:54:10 UTC,2012-03-08 20:54:10 UTC
12,3,shipped,2012-03-21 13:54:10 UTC,2012-03-21 13:54:10 UTC
13,3,shipped,2012-03-10 10:54:10 UTC,2012-03-10 10:54:10 UTC
14,4,shipped,2012-03-26 06:54:10 UTC,2012-03-26 06:54:10 UTC
15,4,shipped,2012-03-26 07:54:10 UTC,2012-03-26 07:54:10 UTC
16,4,shipped,2012-03-12 03:54:10 UTC,2012-03-12 03:54:10 UTC
17,4,shipped,2012-03-13 07:54:10 UTC,2012-03-13 07:54:10 UTC
18,4,shipped,2012-03-07 10:54:10 UTC,2012-03-07 10:54:10 UTC
19,4,shipped,2012-03-19 13:54:10 UTC,2012-03-19 13:54:10 UTC
20,4,shipped,2012-03-22 08:54:10 UTC,2012-03-22 08:54:10 UTC
21,4,shipped,2012-03-13 04:54:10 UTC,2012-03-13 04:54:10 UTC
22,7,shipped,2012-03-15 14:54:10 UTC,2012-03-15 14:54:10 UTC
23,7,shipped,2012-03-16 13:54:11 UTC,2012-03-16 13:54:11 UTC
24,7,shipped,2012-03-17 08:54:11 UTC,2012-03-17 08:54:11 UTC
25,7,shipped,2012-03-27 07:54:11 UTC,2012-03-27 07:54:11 UTC
26,7,shipped,2012-03-21 11:54:11 UTC,2012-03-21 11:54:11 UTC
27,7,shipped,2012-03-12 04:54:11 UTC,2012-03-12 04:54:11 UTC
28,7,shipped,2012-03-19 18:54:11 UTC,2012-03-19 18:54:11 UTC
29,7,shipped,2012-03-25 13:54:11 UTC,2012-03-25 13:54:11 UTC
30,8,shipped,2012-03-12 07:54:11 UTC,2012-03-12 07:54:11 UTC
31,8,shipped,2012-03-23 16:54:11 UTC,2012-03-23 16:54:11 UTC
32,8,shipped,2012-03-13 06:54:11 UTC,2012-03-13 06:54:11 UTC
33,9,shipped,2012-03-15 18:54:11 UTC,2012-03-15 18:54:11 UTC
34,9,shipped,2012-03-18 19:54:11 UTC,2012-03-18 19:54:11 UTC
35,9,shipped,2012-03-21 16:54:11 UTC,2012-03-21 16:54:11 UTC
36,9,shipped,2012-03-16 10:54:11 UTC,2012-03-16 10:54:11 UTC
37,9,shipped,2012-03-13 19:54:11 UTC,2012-03-13 19:54:11 UTC
38,9,shipped,2012-03-10 04:54:11 UTC,2012-03-10 04:54:11 UTC
39,9,shipped,2012-03-22 01:54:11 UTC,2012-03-22 01:54:11 UTC
40,10,shipped,2012-03-14 21:54:11 UTC,2012-03-14 21:54:11 UTC
41,10,shipped,2012-03-21 21:54:11 UTC,2012-03-21 21:54:11 UTC
42,10,shipped,2012-03-19 05:54:11 UTC,2012-03-19 05:54:11 UTC
43,10,shipped,2012-03-17 02:54:11 UTC,2012-03-17 02:54:11 UTC
44,10,shipped,2012-03-27 11:54:11 UTC,2012-03-27 11:54:11 UTC
45,10,shipped,2012-03-18 09:54:11 UTC,2012-03-18 09:54:11 UTC
46,10,shipped,2012-03-15 20:54:11 UTC,2012-03-15 20:54:11 UTC
47,10,shipped,2012-03-27 07:54:12 UTC,2012-03-27 07:54:12 UTC
48,11,shipped,2012-03-16 05:54:12 UTC,2012-03-16 05:54:12 UTC
49,11,shipped,2012-03-18 05:54:12 UTC,2012-03-18 05:54:12 UTC
50,11,shipped,2012-03-21 13:54:12 UTC,2012-03-21 13:54:12 UTC
51,11,shipped,2012-03-16 12:54:12 UTC,2012-03-16 12:54:12 UTC
52,12,shipped,2012-03-08 21:54:12 UTC,2012-03-08 21:54:12 UTC
53,12,shipped,2012-03-24 22:54:12 UTC,2012-03-24 22:54:12 UTC
54,12,shipped,2012-03-27 07:54:12 UTC,2012-03-27 07:54:12 UTC
55,12,shipped,2012-03-25 23:54:12 UTC,2012-03-25 23:54:12 UTC
56,12,shipped,2012-03-24 00:54:12 UTC,2012-03-24 00:54:12 UTC
57,12,shipped,2012-03-21 10:54:12 UTC,2012-03-21 10:54:12 UTC
58,12,shipped,2012-03-17 13:54:12 UTC,2012-03-17 13:54:12 UTC
59,12,shipped,2012-03-14 04:54:12 UTC,2012-03-14 04:54:12 UTC
